#   T(0.1)  T(0.2)  T(0.3)  T(0.4)  T(0.5)  T(0.6)  T(0.7)  T(0.8)  T(0.9)  T(1.0)
#   s       s       s       s       s       s       s       s       s       s
    13.168  10.583  8.871   7.444   6.639   4.722   5.777   5.384   5.018   4.733
    13.156  10.577  8.873   7.444   6.856   6.237   5.767   5.378   5.029   4.779
    13.151  10.564  8.869   7.465   6.840   6.261   5.784   5.376   5.077   4.747
    13.140  10.565  8.864   7.436   6.849   6.227   5.767   5.362   5.045   4.765
    13.130  10.558  8.860   7.440   6.860   6.208   5.795   5.376   5.008   4.762
    13.103  10.552  8.855   7.462   6.855   6.229   5.762   5.363   5.038   4.728
    13.069  10.530  8.850   7.440   6.850   6.227   5.774   5.368   5.052   4.777
    13.085  10.527  8.842   7.463   6.842   6.178   5.784   5.359   5.061   4.756
    13.074  10.518  8.835   7.445   6.835   6.183   5.761   5.364   5.034   4.792
    13.011  9.773   8.823   7.428   6.823   6.163   5.791   5.373   5.028   4.789
