#   T_1     T_2     T_+     T_+     T_-     T_s         T_s         T_-     T_s         T_s
#                                           schwingung  schwebeung          schwingung  schwebung
#   s       s       s       s       s       s           s           s       s           s
#                   L=72cm  L=80cm  L=80    L=80        L=80        L=72    L=72        L=72cm
    8.44    8.47    8.47    9.03    6.72    8.75        20.52       7.87    7.69        18.96
    8.34    8.66    8.53    8.97    6.72    8.63        21.00       7.84    8.00        18.67
    8.44    8.60    8.56    9.06    6.82    8.72        21.38       7.91    8.00        18.43
    8.50    8.65    8.60    8.97    6.65    8.56        21.43       7.88    7.75        18.76
    8.37    8.47    8.50    9.12    6.59    8.63        19.83       7.94    8.18        18.95
    8.44    8.41    8.44    9.06    6.75    8.62        20.93       7.87    7.90        19.38
    8.56    8.50    8.72    8.88    6.56    8.47        21.84       7.84    8.16        18.46
    8.47    8.54    8.60    8.91    6.66    8.50        20.76       7.94    8.06        19.21
    8.50    8.63    8.60    9.00    6.57    8.53        20.50       7.78    8.18        18.66
    8.43    8.43    8.38    9.03    6.56    8.60        19.70       7.82    7.94        19.09
