# p0=
#   T       p
#   in C    mbar
    21      26
    22      28
    29      40
    30      40
    31      42
    32      44
    33      48
    34      50
    35      55
    36      60
    37      62
    38      70
    39      71
    40      73
    41      76
    42      79
    43      84
    44      89
    45      95
    46      100
    47      104
    48      110
    49      116
    50      121
    51      126
    52      132
    53      140
    54      145
    55      151
    56      158
    57      175
    58      181
    59      188
    60      199
    61      206
    62      213
    63      225
    64      237
    65      247
    66      262
    67      270
    68      287
    69      301
    70      310
    71      326
    72      331
    73      347
    74      367
    75      390
    76      407
    77      416
    78      433
    79      448
    80      471
    81      491
    82      509
    83      528
    84      551
    85      572
    86      589
    87      610
    88      641
    89      665
    90      686
    91      716
    92      750
    93      763
    94      804
    95      837
    96      866
    97      890
    98      930    
    99      960
    100     999
    101     1040
