#       p1_0=4.5  p2_0=4.15 Kupfer=750 J/K
#       T1_0=22.4 T2_0=21.7
#t      p1      p2      T1      T2      P      
#sec    bar     bar     °C      °C      W
1       6       1.65    23.5    21.7    125
2       6.5     1.8     24.5    21.4    180
3       7       2       25.6    20.2    190
4       7.5     2       27.2    18.6    195
5       8       2.2     29      16.8    200
6       8.5     2.2     30.8    15.1    200
7       8.75    2.2     32.6    13.3    200
8       9       2.2     34.4    11.7    205
9       9.5     2.2     36.2    9.5     205
10      10      2.2     37.7    8.6     205
11      10.25   2.2     39.2    7.1     210
12      10.5    2.2     40.9    5.7     210
13      11      2.2     42.3    4.5     210
14      11.25   2.2     43.9    3.4     210
15      11.5    2.2     45.1    2.6     205
16      12      2.2     46.4    1.9     210
17      12.25   2.2     47.7    1.3     210
18      12.5    2.2     48.9    0.8     210
19      12.75   2.2     50      0.4     210
