#Silber d_Ag=0.041mm -  Magnetfeld konstant
#Stromstärke(B)     HALL_Spannung       durchfließender Strom
0                   -0.1707             10
0.5                 -0.1740             10
1.0                 -0.1777             10
1.5                 -0.1809             10
2.0                 -0.1850             10
2.5                 -0.1885             10
3.0                 -0.1909             10
3.5                 -0.1945             10
4.0                 -0.1970             10
4.5                 -0.1990             10
5.0                 -0.2002             10
